trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1381020,45,2,"Grove to Ypsilanti Transit Ctr",,0,6902,shp-45-51,1,1
2658070,22,3,"Pontiac - Dhu Varren to Pierpont Commons",,1,107,shp-22-04,1,1
1736020,31,2,"Dexter Ave to Blake Transit Ctr",,0,1502,shp-31-04,1,1
2703020,34,2,"Maple - Dexter to Miller Rd P&R",,1,4602,shp-34-51,1,1
1763070,5,3,"Packard to Ypsilanti Transit Ctr",,1,7707,shp-5-07,1,1
1495070,45,3,"Grove to Harry & Grove",,1,7707,shp-45-03,1,1
2120020,23,2,"Plymouth to Plymouth Rd P&R",,1,2702,shp-23-60,1,1
2444020,29,2,"Liberty to Blake Transit Ctr",,0,1702,shp-29-01,1,1
2643020,32,2,"Miller - Maple to Blake Transit Ctr",,0,1502,shp-32-06,1,1
613010,22,1,"Pontiac - Dhu Varren to BTC",,0,101,shp-22-01,1,1
481020,62,2,"U-M - State St to Wolverine Tower",,0,9302,shp-62-54,1,1
3057020,23,2,"Plymouth to Plymouth Rd P&R",,1,2202,shp-23-60,1,1
1437020,5,2,"A Packard to BTC",,0,8702,shp-5-01,1,1
2461070,4,3,"Washtenaw to BTC",,0,1707,shp-4-06,1,1
2321070,28,3,"28 Pauline to BTC",,0,3307,shp-28-10,1,1
1995070,3,3," Huron River to YTC",,1,4207,shp-3-53,1,1
1781020,5,2,"A Packard to BTC",,0,8302,shp-5-01,1,1
2026010,43,1,"E Michigan Ave to Ypsilanti Transit Ctr",,0,7901,shp-43-51,1,1
2208020,47,2,"47 Harriet Michigan to YTC",,0,7502,shp-47-51,1,1
2690070,32,3,"Miller - Maple to Blake Transit Ctr",,0,4507,shp-32-06,1,1
1616020,65,2,"U-M - Downtown - Green to Glacier Hills",,1,9002,shp-65-53,1,1
4070,47,3,"47 Harriet Michigan to Hewistt & Ellsworth",,1,7407,shp-47-02,1,1
1099020,42,2,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,6802,shp-42-52,1,1
652020,31,2,"Dexter Ave to Blake Transit Ctr",,0,1402,shp-31-04,1,1
463010,4,1,"Washtenaw to BTC",,0,5001,shp-4-06,1,1
591010,6,1,"Ellsworth to Ypsilanti Transit Ctr",,1,601,shp-6-62,1,1
1121020,26,2,"Scio Church to Scio Ridge",,1,1802,shp-26-02,1,1
2775070,24,3,"Eisenhower - Golfside to St. Joe's Hospital",,1,407,shp-24-59,1,1
2109020,46,2,"Paint Creek to Ypsilanti Transit Ctr",,0,6902,shp-46-51,1,1
917020,4,2,"Washtenaw to BTC",,0,5702,shp-4-06,1,1
731010,22,1,"Pontiac - Dhu Varren to Pierpont Commons",,1,101,shp-22-04,1,1
101070,6,3,"Ellsworth to Ypsilanti Transit Ctr",,1,707,shp-6-62,1,1
2739070,23,3,"Plymouth to Blake Transit Ctr",,0,3607,shp-23-08,1,1
577020,23,2,"Plymouth to Plymouth Rd P&R",,1,2202,shp-23-60,1,1
60020,65,2,"U-M - Downtown - Green to Glacier Hills",,1,9202,shp-65-53,1,1
232020,62,2,"62 UM State to CCTC",,1,9402,shp-62-06,1,1
1302010,22,1,"Pontiac - Dhu Varren to Pierpont Commons",,1,101,shp-22-04,1,1
25020,33,2,"Newport to Warrington & Newport",,1,4002,shp-33-51,1,1
249020,47,2,"47 Harriet Michigan to YTC",,0,7502,shp-47-51,1,1
2191070,4,3,"Washtenaw to BTC",,0,1407,shp-4-06,1,1
1082070,4,3,"Washtenaw to BTC",,0,1707,shp-4-06,1,1
2317020,64,2,"Geddes - E. Stadium to Pioneer High School P&R ",,1,9902,shp-64-53,1,1
1102020,62,2,"U-M - State St to Wolverine Tower",,0,9302,shp-62-54,1,1
2452020,66,2,"Carpenter - Huron Pkwy to Green Rd P&R",,1,8502,shp-66-10,1,1
2347020,22,2,"Pontiac - Dhu Varren to BTC",,0,3702,shp-22-01,1,1
131070,42,3,"Forest - MacArthur to MacArthur & Harris",,1,6507,shp-42-03,1,1
1867070,42,3,"Forest - MacArthur to MacArthur & Harris",,1,6607,shp-42-03,1,1
2546020,33,2,"Newport to Blake Transit Ctr",,0,3702,shp-33-01,1,1
2139020,24,2,"Eisenhower - Golfside to St. Joe's Hospital",,1,702,shp-24-59,1,1
757020,43,2,"E Michigan Ave to Ypsilanti Transit Ctr",,0,7502,shp-43-51,1,1
1458010,26,1,"Scio Church to Scio Ridge",,1,8001,shp-26-02,1,1
851070,27,3,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,3407,shp-27-04,1,1
287070,23,3,"Plymouth to Blake Transit Ctr",,0,3807,shp-23-08,1,1
2725020,3,2," Huron River to BTC",,0,7202,shp-3-03,1,1
2876020,34,2,"Maple - Dexter to Blake Transit Ctr",,0,4702,shp-34-01,1,1
2092070,30,3,"Jackson Rd to Meijer: Jackson Rd",,1,3707,shp-30-05,1,1
2360020,27,2,"W. Stadium - Oak Valley to Meijer",,1,3002,shp-27-52,1,1
297020,32,2,"Miller - Maple to Pennsylvania & Maple",,1,1402,shp-32-54,1,1
1961070,31,3,"Dexter Ave to Jackson & Wagnor",,1,3407,shp-31-51,1,1
1143020,22,2,"Pontiac - Dhu Varren to BTC",,0,3702,shp-22-01,1,1
1648020,62,2,"U-M - State St to Wolverine Tower",,0,9602,shp-62-54,1,1
641020,4,2,"Washtenaw to BTC",,0,6402,shp-4-06,1,1
2443010,23,1,"Plymouth to Blake Transit Ctr",,0,201,shp-23-08,1,1
